bp position	mean quality score
1	31.6022951199
2	31.3780191686
3	35.6887816758
4	36.0077297473
5	36.171620299
6	39.4246859164
7	39.822932417
8	39.5965280433
9	40.020255708
10	40.1030991055
11	40.1639702746
12	40.1837019281
13	40.1128275566
14	40.136637016
15	40.1354393703
16	40.127855106
17	40.0494403855
18	40.0808660884
19	40.0794650816
20	40.0688907566
21	40.0570528005
22	40.1163569858
23	40.0362586248
24	40.0925313115
25	40.0497493682
26	40.028002571
27	39.9810646751
28	40.0025331177
29	39.9429893131
30	39.9928557884
31	39.9011392724
32	39.9522716309
33	39.938156166
34	39.9794992679
35	39.9946162241
36	39.9831807112
37	39.9776910885
38	39.9481192817
39	39.9663175072
40	39.9596009619
41	39.9402674727
42	39.9244787268
43	39.9148457631
44	39.9150437193
45	39.8366940833
46	39.8778606236
47	39.885414485
48	39.8824647361
49	39.8795789458
50	39.8737654767
51	39.8775563702
52	39.868721762
53	39.7911249898
54	39.8237933798
55	39.8335614671
56	39.8291456268
57	39.7749121809
58	39.7944783079
59	39.7860736181
60	39.7761258163
61	39.757264359
62	39.7553757811
63	39.7058536458
64	39.7254411674
65	39.713867378
66	39.7054858843
67	39.694081675
68	39.68316301
69	39.6716770509
70	39.5833420038
71	39.6009256419
72	39.5993224
73	39.5945356454
74	39.576580192
75	39.5526284024
76	39.5220512758
77	38.8362526794
78	39.2145465994
79	39.3226286141
80	39.3698412613
81	39.4599975498
82	39.4675489339
83	39.4444590078
84	39.4305788831
85	39.411810436
86	39.4059176944
87	39.3678957062
88	39.2261845726
89	39.2619948122
90	39.2700378211
91	39.261350948
92	39.2142211767
93	39.1805841755
94	39.1289570392
95	39.0985506189
96	39.1085508936
97	39.0910264847
98	38.8652587685
99	38.9206966164
100	39.0023338103
101	37.8499008418
