bp position	mean quality score
1	31.5771559435
2	31.6772760254
3	35.7884175254
4	35.9731414709
5	36.1845905669
6	39.6531244579
7	39.8429835636
8	40.0140451335
9	40.0955975973
10	40.1101245495
11	40.150328865
12	40.1599240964
13	40.1049524676
14	40.1100357126
15	40.1152147842
16	40.1061922093
17	40.0204506252
18	40.0517667312
19	40.0615375258
20	40.0533873942
21	40.0235081101
22	40.0801088168
23	40.012978954
24	40.0551921175
25	40.0126178504
26	40.0018617368
27	39.9446612647
28	39.9679631395
29	39.9138288413
30	39.9540708186
31	39.8570184456
32	39.9181396085
33	39.8979408294
34	39.939903901
35	39.9578858152
36	39.9492817412
37	39.9411546342
38	39.9163408059
39	39.9285266421
40	39.9178627368
41	39.9001408096
42	39.8884486882
43	39.8872348493
44	39.8799463613
45	39.7945599602
46	39.8331611005
47	39.8438424113
48	39.8405755116
49	39.8354531794
50	39.8296247025
51	39.8324451702
52	39.8222827095
53	39.7430648654
54	39.7795939495
55	39.788663396
56	39.7839962946
57	39.7333922546
58	39.750856607
59	39.7396313382
60	39.7310419561
61	39.7125386701
62	39.707012255
63	39.6570414209
64	39.6763338228
65	39.665284172
66	39.6536911664
67	39.6445522895
68	39.6329360947
69	39.6217396068
70	39.5289453732
71	39.547037422
72	39.5461913201
73	39.5376711765
74	39.5155777133
75	39.4950505859
76	39.4802241485
77	38.7911181004
78	39.1760559506
79	39.2859632733
80	39.3319960932
81	39.4213406001
82	39.4307798394
83	39.4056715967
84	39.3923818644
85	39.3759816906
86	39.3659595433
87	39.3277383923
88	39.1828072236
89	39.2235187398
90	39.2296207992
91	39.2131858965
92	39.1747102132
93	39.1381350798
94	39.0823837094
95	39.0613262196
96	39.0649528525
97	39.0479258592
98	38.8250103385
99	38.8814269026
100	38.9596171611
101	37.8131690775
