34887758 101
   1049 31
   1032 32
   1130 33
   1229 34
   1253 35
   1382 36
   1531 37
   1557 38
   1729 39
   1942 40
   2019 41
   2031 42
   2225 43
   2164 44
   2266 45
   2472 46
   2696 47
   2951 48
   3236 49
   3505 50
   3645 51
   3835 52
   4128 53
   4378 54
   4623 55
   5002 56
   5287 57
   5716 58
   6174 59
   6680 60
   7326 61
   7944 62
   8522 63
   9101 64
   9670 65
  10235 66
  11144 67
  12065 68
  12856 69
  14003 70
  15275 71
  16420 72
  18129 73
  18874 74
  20504 75
  22344 76
  23915 77
  25215 78
  27169 79
  28941 80
  30419 81
  32747 82
  34638 83
  36850 84
  39503 85
  41501 86
  43549 87
  45998 88
  47838 89
  50690 90
  55411 91
  58261 92
  64238 93
  79024 94
 117345 95
 102817 96
