4248989 101
    165 31
    172 32
    190 33
    216 34
    193 35
    246 36
    245 37
    260 38
    280 39
    352 40
    338 41
    379 42
    367 43
    369 44
    380 45
    424 46
    439 47
    509 48
    561 49
    570 50
    624 51
    685 52
    706 53
    703 54
    773 55
    848 56
    892 57
    965 58
   1025 59
   1135 60
   1192 61
   1329 62
   1361 63
   1459 64
   1606 65
   1612 66
   1764 67
   1969 68
   1966 69
   2097 70
   2215 71
   2255 72
   2603 73
   2644 74
   2771 75
   3075 76
   3216 77
   3218 78
   3399 79
   3567 80
   3711 81
   3959 82
   4131 83
   4428 84
   4592 85
   4683 86
   4717 87
   5021 88
   5332 89
   5457 90
   5660 91
   6150 92
   6715 93
   7966 94
  11489 95
  10319 96
